ICD-10-CM Code,Model Variable,Models,POA
C110,Cancer (CC 9 - 14),"HWR,R,E",N
C111,Cancer (CC 9 - 14),"HWR,R,E",N
C112,Cancer (CC 9 - 14),"HWR,R,E",N
C113,Cancer (CC 9 - 14),"HWR,R,E",N
C118,Cancer (CC 9 - 14),"HWR,R,E",N
C119,Cancer (CC 9 - 14),"HWR,R,E",N
C12,Cancer (CC 9 - 14),"HWR,R,E",N
C130,Cancer (CC 9 - 14),"HWR,R,E",N
C131,Cancer (CC 9 - 14),"HWR,R,E",N
C132,Cancer (CC 9 - 14),"HWR,R,E",N
C138,Cancer (CC 9 - 14),"HWR,R,E",N
C139,Cancer (CC 9 - 14),"HWR,R,E",N
C140,Cancer (CC 9 - 14),"HWR,R,E",N
C142,Cancer (CC 9 - 14),"HWR,R,E",N
C148,Cancer (CC 9 - 14),"HWR,R,E",N
C153,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C154,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C155,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C158,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C159,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C160,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C161,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C162,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C163,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C164,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C165,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C166,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C168,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C169,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C170,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C171,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C172,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C173,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C178,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C179,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C180,Cancer (CC 9 - 14),"HWR,R,E",N
C181,Cancer (CC 9 - 14),"HWR,R,E",N
C182,Cancer (CC 9 - 14),"HWR,R,E",N
C183,Cancer (CC 9 - 14),"HWR,R,E",N
C184,Cancer (CC 9 - 14),"HWR,R,E",N
C185,Cancer (CC 9 - 14),"HWR,R,E",N
C186,Cancer (CC 9 - 14),"HWR,R,E",N
C187,Cancer (CC 9 - 14),"HWR,R,E",N
C188,Cancer (CC 9 - 14),"HWR,R,E",N
C189,Cancer (CC 9 - 14),"HWR,R,E",N
C19,Cancer (CC 9 - 14),"HWR,R,E",N
C20,Cancer (CC 9 - 14),"HWR,R,E",N
C210,Cancer (CC 9 - 14),"HWR,R,E",N
C211,Cancer (CC 9 - 14),"HWR,R,E",N
C212,Cancer (CC 9 - 14),"HWR,R,E",N
C218,Cancer (CC 9 - 14),"HWR,R,E",N
C220,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C221,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C222,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C223,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C224,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C227,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C228,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C229,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C23,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C240,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C241,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C248,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C249,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C250,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C251,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C252,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C253,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C254,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C257,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C258,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C259,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C260,Cancer (CC 9 - 14),"HWR,R,E",N
C261,Cancer (CC 9 - 14),"HWR,R,E",N
C269,Cancer (CC 9 - 14),"HWR,R,E",N
C300,Cancer (CC 9 - 14),"HWR,R,E",N
C301,Cancer (CC 9 - 14),"HWR,R,E",N
C310,Cancer (CC 9 - 14),"HWR,R,E",N
C311,Cancer (CC 9 - 14),"HWR,R,E",N
C312,Cancer (CC 9 - 14),"HWR,R,E",N
C313,Cancer (CC 9 - 14),"HWR,R,E",N
C318,Cancer (CC 9 - 14),"HWR,R,E",N
C319,Cancer (CC 9 - 14),"HWR,R,E",N
C320,Cancer (CC 9 - 14),"HWR,R,E",N
C321,Cancer (CC 9 - 14),"HWR,R,E",N
C322,Cancer (CC 9 - 14),"HWR,R,E",N
C323,Cancer (CC 9 - 14),"HWR,R,E",N
C328,Cancer (CC 9 - 14),"HWR,R,E",N
C329,Cancer (CC 9 - 14),"HWR,R,E",N
C33,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C3400,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C3401,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C3402,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C3410,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C3411,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C3412,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C342,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C3430,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C3431,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C3432,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C3480,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C3481,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C3482,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C3490,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C3491,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C3492,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C37,Cancer (CC 9 - 14),"HWR,R,E",N
C380,Cancer (CC 9 - 14),"HWR,R,E",N
C381,Cancer (CC 9 - 14),"HWR,R,E",N
C382,Cancer (CC 9 - 14),"HWR,R,E",N
C383,Cancer (CC 9 - 14),"HWR,R,E",N
C384,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C388,Cancer (CC 9 - 14),"HWR,R,E",N
C390,Cancer (CC 9 - 14),"HWR,R,E",N
C399,Cancer (CC 9 - 14),"HWR,R,E",N
C4000,Cancer (CC 9 - 14),"HWR,R,E",N
C4001,Cancer (CC 9 - 14),"HWR,R,E",N
C4002,Cancer (CC 9 - 14),"HWR,R,E",N
C4010,Cancer (CC 9 - 14),"HWR,R,E",N
C4011,Cancer (CC 9 - 14),"HWR,R,E",N
C4012,Cancer (CC 9 - 14),"HWR,R,E",N
C4020,Cancer (CC 9 - 14),"HWR,R,E",N
C4021,Cancer (CC 9 - 14),"HWR,R,E",N
C4022,Cancer (CC 9 - 14),"HWR,R,E",N
C4030,Cancer (CC 9 - 14),"HWR,R,E",N
C4031,Cancer (CC 9 - 14),"HWR,R,E",N
C4032,Cancer (CC 9 - 14),"HWR,R,E",N
C4080,Cancer (CC 9 - 14),"HWR,R,E",N
C4081,Cancer (CC 9 - 14),"HWR,R,E",N
C4082,Cancer (CC 9 - 14),"HWR,R,E",N
C4090,Cancer (CC 9 - 14),"HWR,R,E",N
C4091,Cancer (CC 9 - 14),"HWR,R,E",N
C4092,Cancer (CC 9 - 14),"HWR,R,E",N
C410,Cancer (CC 9 - 14),"HWR,R,E",N
C411,Cancer (CC 9 - 14),"HWR,R,E",N
C412,Cancer (CC 9 - 14),"HWR,R,E",N
C413,Cancer (CC 9 - 14),"HWR,R,E",N
C414,Cancer (CC 9 - 14),"HWR,R,E",N
C419,Cancer (CC 9 - 14),"HWR,R,E",N
C430,Cancer (CC 9 - 14),"HWR,R,E",N
C4310,Cancer (CC 9 - 14),"HWR,R,E",N
C43111,Cancer (CC 9 - 14),"HWR,R,E",N
C43112,Cancer (CC 9 - 14),"HWR,R,E",N
C43121,Cancer (CC 9 - 14),"HWR,R,E",N
C43122,Cancer (CC 9 - 14),"HWR,R,E",N
C4320,Cancer (CC 9 - 14),"HWR,R,E",N
C4321,Cancer (CC 9 - 14),"HWR,R,E",N
C4322,Cancer (CC 9 - 14),"HWR,R,E",N
C4330,Cancer (CC 9 - 14),"HWR,R,E",N
C4331,Cancer (CC 9 - 14),"HWR,R,E",N
C4339,Cancer (CC 9 - 14),"HWR,R,E",N
C434,Cancer (CC 9 - 14),"HWR,R,E",N
C4351,Cancer (CC 9 - 14),"HWR,R,E",N
C4352,Cancer (CC 9 - 14),"HWR,R,E",N
C4359,Cancer (CC 9 - 14),"HWR,R,E",N
C4360,Cancer (CC 9 - 14),"HWR,R,E",N
C4361,Cancer (CC 9 - 14),"HWR,R,E",N
C4362,Cancer (CC 9 - 14),"HWR,R,E",N
C4370,Cancer (CC 9 - 14),"HWR,R,E",N
C4371,Cancer (CC 9 - 14),"HWR,R,E",N
C4372,Cancer (CC 9 - 14),"HWR,R,E",N
C438,Cancer (CC 9 - 14),"HWR,R,E",N
C439,Cancer (CC 9 - 14),"HWR,R,E",N
C450,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C451,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C452,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C457,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C459,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C460,Cancer (CC 9 - 14),"HWR,R,E",N
C461,Cancer (CC 9 - 14),"HWR,R,E",N
C462,Cancer (CC 9 - 14),"HWR,R,E",N
C463,Cancer (CC 9 - 14),"HWR,R,E",N
C464,Cancer (CC 9 - 14),"HWR,R,E",N
C4650,Cancer (CC 9 - 14),"HWR,R,E",N
C4651,Cancer (CC 9 - 14),"HWR,R,E",N
C4652,Cancer (CC 9 - 14),"HWR,R,E",N
C467,Cancer (CC 9 - 14),"HWR,R,E",N
C469,Cancer (CC 9 - 14),"HWR,R,E",N
C470,Cancer (CC 9 - 14),"HWR,R,E",N
C4710,Cancer (CC 9 - 14),"HWR,R,E",N
C4711,Cancer (CC 9 - 14),"HWR,R,E",N
C4712,Cancer (CC 9 - 14),"HWR,R,E",N
C4720,Cancer (CC 9 - 14),"HWR,R,E",N
C4721,Cancer (CC 9 - 14),"HWR,R,E",N
C4722,Cancer (CC 9 - 14),"HWR,R,E",N
C473,Cancer (CC 9 - 14),"HWR,R,E",N
C474,Cancer (CC 9 - 14),"HWR,R,E",N
C475,Cancer (CC 9 - 14),"HWR,R,E",N
C476,Cancer (CC 9 - 14),"HWR,R,E",N
C478,Cancer (CC 9 - 14),"HWR,R,E",N
C479,Cancer (CC 9 - 14),"HWR,R,E",N
C480,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C481,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C482,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C488,Cancer (CC 9 - 14),"HWM,HWR,M,R,E",N
C490,Cancer (CC 9 - 14),"HWR,R,E",N
C4910,Cancer (CC 9 - 14),"HWR,R,E",N
C4911,Cancer (CC 9 - 14),"HWR,R,E",N
C4912,Cancer (CC 9 - 14),"HWR,R,E",N
C4920,Cancer (CC 9 - 14),"HWR,R,E",N
C4921,Cancer (CC 9 - 14),"HWR,R,E",N
C4922,Cancer (CC 9 - 14),"HWR,R,E",N
C493,Cancer (CC 9 - 14),"HWR,R,E",N
C494,Cancer (CC 9 - 14),"HWR,R,E",N
C495,Cancer (CC 9 - 14),"HWR,R,E",N
C496,Cancer (CC 9 - 14),"HWR,R,E",N
C498,Cancer (CC 9 - 14),"HWR,R,E",N
C499,Cancer (CC 9 - 14),"HWR,R,E",N
C49A0,Cancer (CC 9 - 14),"HWR,R,E",N
C49A1,Cancer (CC 9 - 14),"HWR,R,E",N
C49A2,Cancer (CC 9 - 14),"HWR,R,E",N
C49A3,Cancer (CC 9 - 14),"HWR,R,E",N
C49A4,Cancer (CC 9 - 14),"HWR,R,E",N
C49A5,Cancer (CC 9 - 14),"HWR,R,E",N
C49A9,Cancer (CC 9 - 14),"HWR,R,E",N
C4A0,Cancer (CC 9 - 14),"HWR,R,E",N
C4A10,Cancer (CC 9 - 14),"HWR,R,E",N
C4A111,Cancer (CC 9 - 14),"HWR,R,E",N
C4A112,Cancer (CC 9 - 14),"HWR,R,E",N
C4A121,Cancer (CC 9 - 14),"HWR,R,E",N
C4A122,Cancer (CC 9 - 14),"HWR,R,E",N
C4A20,Cancer (CC 9 - 14),"HWR,R,E",N
C4A21,Cancer (CC 9 - 14),"HWR,R,E",N
C4A22,Cancer (CC 9 - 14),"HWR,R,E",N
C4A30,Cancer (CC 9 - 14),"HWR,R,E",N
C4A31,Cancer (CC 9 - 14),"HWR,R,E",N
C4A39,Cancer (CC 9 - 14),"HWR,R,E",N
C4A4,Cancer (CC 9 - 14),"HWR,R,E",N
C4A51,Cancer (CC 9 - 14),"HWR,R,E",N
C4A52,Cancer (CC 9 - 14),"HWR,R,E",N
C4A59,Cancer (CC 9 - 14),"HWR,R,E",N
C4A60,Cancer (CC 9 - 14),"HWR,R,E",N
C4A61,Cancer (CC 9 - 14),"HWR,R,E",N
C4A62,Cancer (CC 9 - 14),"HWR,R,E",N
C4A70,Cancer (CC 9 - 14),"HWR,R,E",N
C4A71,Cancer (CC 9 - 14),"HWR,R,E",N
C4A72,Cancer (CC 9 - 14),"HWR,R,E",N
C4A8,Cancer (CC 9 - 14),"HWR,R,E",N
C4A9,Cancer (CC 9 - 14),"HWR,R,E",N
C50011,Cancer (CC 9 - 14),"HWR,R,E",N
C50012,Cancer (CC 9 - 14),"HWR,R,E",N
C50019,Cancer (CC 9 - 14),"HWR,R,E",N
C50021,Cancer (CC 9 - 14),"HWR,R,E",N
C50022,Cancer (CC 9 - 14),"HWR,R,E",N
C50029,Cancer (CC 9 - 14),"HWR,R,E",N
C50111,Cancer (CC 9 - 14),"HWR,R,E",N
C50112,Cancer (CC 9 - 14),"HWR,R,E",N
C50119,Cancer (CC 9 - 14),"HWR,R,E",N
C50121,Cancer (CC 9 - 14),"HWR,R,E",N
C50122,Cancer (CC 9 - 14),"HWR,R,E",N
C50129,Cancer (CC 9 - 14),"HWR,R,E",N
C50211,Cancer (CC 9 - 14),"HWR,R,E",N
C50212,Cancer (CC 9 - 14),"HWR,R,E",N
C50219,Cancer (CC 9 - 14),"HWR,R,E",N
C50221,Cancer (CC 9 - 14),"HWR,R,E",N
C50222,Cancer (CC 9 - 14),"HWR,R,E",N
C50229,Cancer (CC 9 - 14),"HWR,R,E",N
C50311,Cancer (CC 9 - 14),"HWR,R,E",N
C50312,Cancer (CC 9 - 14),"HWR,R,E",N
C50319,Cancer (CC 9 - 14),"HWR,R,E",N
C50321,Cancer (CC 9 - 14),"HWR,R,E",N
C50322,Cancer (CC 9 - 14),"HWR,R,E",N
C50329,Cancer (CC 9 - 14),"HWR,R,E",N
C50411,Cancer (CC 9 - 14),"HWR,R,E",N
C50412,Cancer (CC 9 - 14),"HWR,R,E",N
C50419,Cancer (CC 9 - 14),"HWR,R,E",N
C50421,Cancer (CC 9 - 14),"HWR,R,E",N
C50422,Cancer (CC 9 - 14),"HWR,R,E",N
C50429,Cancer (CC 9 - 14),"HWR,R,E",N
C50511,Cancer (CC 9 - 14),"HWR,R,E",N
C50512,Cancer (CC 9 - 14),"HWR,R,E",N
C50519,Cancer (CC 9 - 14),"HWR,R,E",N
C50521,Cancer (CC 9 - 14),"HWR,R,E",N
C50522,Cancer (CC 9 - 14),"HWR,R,E",N
C50529,Cancer (CC 9 - 14),"HWR,R,E",N
C50611,Cancer (CC 9 - 14),"HWR,R,E",N
C50612,Cancer (CC 9 - 14),"HWR,R,E",N
C50619,Cancer (CC 9 - 14),"HWR,R,E",N
C50621,Cancer (CC 9 - 14),"HWR,R,E",N
C50622,Cancer (CC 9 - 14),"HWR,R,E",N
C50629,Cancer (CC 9 - 14),"HWR,R,E",N
C50811,Cancer (CC 9 - 14),"HWR,R,E",N
C50812,Cancer (CC 9 - 14),"HWR,R,E",N
C50819,Cancer (CC 9 - 14),"HWR,R,E",N
C50821,Cancer (CC 9 - 14),"HWR,R,E",N
C50822,Cancer (CC 9 - 14),"HWR,R,E",N
C50829,Cancer (CC 9 - 14),"HWR,R,E",N
C50911,Cancer (CC 9 - 14),"HWR,R,E",N
C50912,Cancer (CC 9 - 14),"HWR,R,E",N
C50919,Cancer (CC 9 - 14),"HWR,R,E",N
C50921,Cancer (CC 9 - 14),"HWR,R,E",N
C50922,Cancer (CC 9 - 14),"HWR,R,E",N
C50929,Cancer (CC 9 - 14),"HWR,R,E",N
C510,Cancer (CC 9 - 14),"HWR,R,E",N
C511,Cancer (CC 9 - 14),"HWR,R,E",N
C512,Cancer (CC 9 - 14),"HWR,R,E",N
C518,Cancer (CC 9 - 14),"HWR,R,E",N
C519,Cancer (CC 9 - 14),"HWR,R,E",N
C52,Cancer (CC 9 - 14),"HWR,R,E",N
C530,Cancer (CC 9 - 14),"HWR,R,E",N
C531,Cancer (CC 9 - 14),"HWR,R,E",N
C538,Cancer (CC 9 - 14),"HWR,R,E",N
C539,Cancer (CC 9 - 14),"HWR,R,E",N
C540,Cancer (CC 9 - 14),"HWR,R,E",N
C541,Cancer (CC 9 - 14),"HWR,R,E",N
C542,Cancer (CC 9 - 14),"HWR,R,E",N
C543,Cancer (CC 9 - 14),"HWR,R,E",N
C548,Cancer (CC 9 - 14),"HWR,R,E",N
C549,Cancer (CC 9 - 14),"HWR,R,E",N
C55,Cancer (CC 9 - 14),"HWR,R,E",N
C561,Cancer (CC 9 - 14),"HWR,R,E",N
C562,Cancer (CC 9 - 14),"HWR,R,E",N
C563,Cancer (CC 9 - 14),"HWR,R,E",N
C569,Cancer (CC 9 - 14),"HWR,R,E",N
C5700,Cancer (CC 9 - 14),"HWR,R,E",N
C5701,Cancer (CC 9 - 14),"HWR,R,E",N
C5702,Cancer (CC 9 - 14),"HWR,R,E",N
C5710,Cancer (CC 9 - 14),"HWR,R,E",N
C5711,Cancer (CC 9 - 14),"HWR,R,E",N
C5712,Cancer (CC 9 - 14),"HWR,R,E",N
C5720,Cancer (CC 9 - 14),"HWR,R,E",N
C5721,Cancer (CC 9 - 14),"HWR,R,E",N
C5722,Cancer (CC 9 - 14),"HWR,R,E",N
C573,Cancer (CC 9 - 14),"HWR,R,E",N
C574,Cancer (CC 9 - 14),"HWR,R,E",N
C577,Cancer (CC 9 - 14),"HWR,R,E",N
C578,Cancer (CC 9 - 14),"HWR,R,E",N
C579,Cancer (CC 9 - 14),"HWR,R,E",N
C58,Cancer (CC 9 - 14),"HWR,R,E",N
C600,Cancer (CC 9 - 14),"HWR,R,E",N
C601,Cancer (CC 9 - 14),"HWR,R,E",N
C602,Cancer (CC 9 - 14),"HWR,R,E",N
C608,Cancer (CC 9 - 14),"HWR,R,E",N
C609,Cancer (CC 9 - 14),"HWR,R,E",N
C61,Cancer (CC 9 - 14),"HWR,R,E",N
C6200,Cancer (CC 9 - 14),"HWR,R,E",N
C6201,Cancer (CC 9 - 14),"HWR,R,E",N
C6202,Cancer (CC 9 - 14),"HWR,R,E",N
C6210,Cancer (CC 9 - 14),"HWR,R,E",N
C6211,Cancer (CC 9 - 14),"HWR,R,E",N
C6212,Cancer (CC 9 - 14),"HWR,R,E",N
C6290,Cancer (CC 9 - 14),"HWR,R,E",N
C6291,Cancer (CC 9 - 14),"HWR,R,E",N
C6292,Cancer (CC 9 - 14),"HWR,R,E",N
C6300,Cancer (CC 9 - 14),"HWR,R,E",N
C6301,Cancer (CC 9 - 14),"HWR,R,E",N
C6302,Cancer (CC 9 - 14),"HWR,R,E",N
C6310,Cancer (CC 9 - 14),"HWR,R,E",N
C6311,Cancer (CC 9 - 14),"HWR,R,E",N
C6312,Cancer (CC 9 - 14),"HWR,R,E",N
C632,Cancer (CC 9 - 14),"HWR,R,E",N
C637,Cancer (CC 9 - 14),"HWR,R,E",N
C638,Cancer (CC 9 - 14),"HWR,R,E",N
C639,Cancer (CC 9 - 14),"HWR,R,E",N
C641,Cancer (CC 9 - 14),"HWR,R,E",N
C642,Cancer (CC 9 - 14),"HWR,R,E",N
C649,Cancer (CC 9 - 14),"HWR,R,E",N
C651,Cancer (CC 9 - 14),"HWR,R,E",N
C652,Cancer (CC 9 - 14),"HWR,R,E",N
C659,Cancer (CC 9 - 14),"HWR,R,E",N
C661,Cancer (CC 9 - 14),"HWR,R,E",N
C662,Cancer (CC 9 - 14),"HWR,R,E",N
C669,Cancer (CC 9 - 14),"HWR,R,E",N
C670,Cancer (CC 9 - 14),"HWR,R,E",N
C671,Cancer (CC 9 - 14),"HWR,R,E",N
C672,Cancer (CC 9 - 14),"HWR,R,E",N
C673,Cancer (CC 9 - 14),"HWR,R,E",N
C674,Cancer (CC 9 - 14),"HWR,R,E",N
C675,Cancer (CC 9 - 14),"HWR,R,E",N
C676,Cancer (CC 9 - 14),"HWR,R,E",N
C677,Cancer (CC 9 - 14),"HWR,R,E",N
C678,Cancer (CC 9 - 14),"HWR,R,E",N
C679,Cancer (CC 9 - 14),"HWR,R,E",N
C680,Cancer (CC 9 - 14),"HWR,R,E",N
C681,Cancer (CC 9 - 14),"HWR,R,E",N
C688,Cancer (CC 9 - 14),"HWR,R,E",N
C689,Cancer (CC 9 - 14),"HWR,R,E",N
C6900,Cancer (CC 9 - 14),"HWR,R,E",N
C6901,Cancer (CC 9 - 14),"HWR,R,E",N
C6902,Cancer (CC 9 - 14),"HWR,R,E",N
C6910,Cancer (CC 9 - 14),"HWR,R,E",N
C6911,Cancer (CC 9 - 14),"HWR,R,E",N
C6912,Cancer (CC 9 - 14),"HWR,R,E",N
C6920,Cancer (CC 9 - 14),"HWR,R,E",N
C6921,Cancer (CC 9 - 14),"HWR,R,E",N
C6922,Cancer (CC 9 - 14),"HWR,R,E",N
C6930,Cancer (CC 9 - 14),"HWR,R,E",N
C6931,Cancer (CC 9 - 14),"HWR,R,E",N
C6932,Cancer (CC 9 - 14),"HWR,R,E",N
C6940,Cancer (CC 9 - 14),"HWR,R,E",N
C6941,Cancer (CC 9 - 14),"HWR,R,E",N
C6942,Cancer (CC 9 - 14),"HWR,R,E",N
C6950,Cancer (CC 9 - 14),"HWR,R,E",N
C6951,Cancer (CC 9 - 14),"HWR,R,E",N
C6952,Cancer (CC 9 - 14),"HWR,R,E",N
C6960,Cancer (CC 9 - 14),"HWR,R,E",N
C6961,Cancer (CC 9 - 14),"HWR,R,E",N
C6962,Cancer (CC 9 - 14),"HWR,R,E",N
C6980,Cancer (CC 9 - 14),"HWR,R,E",N
C6981,Cancer (CC 9 - 14),"HWR,R,E",N
C6982,Cancer (CC 9 - 14),"HWR,R,E",N
C6990,Cancer (CC 9 - 14),"HWR,R,E",N
